edad_cliente,departamento_correspondencia,cr_hipotecario,dafuturo,cdt,fond,ingreso_2,act_laboral_general,acierta_plus,categoria_gasto,categoria_ahorro,categoria_credito,madurez_financiera,open_rate,quanto,con_gusto_agrupado,con_digital_d
18,"BOGOTA, D.C.",0,0,0,0,908526,,\N,\N,\N,\N,0,,\N,sin_informacion,No_digital
24,,0,0,0,0,\N,,1,\N,\N,\N,0,,1135,sin_informacion,No_digital
18,,0,0,0,0,\N,,0,\N,\N,\N,0,,1299,sin_informacion,No_digital
19,VALLE DEL CAUCA,0,0,0,0,\N,,733,\N,\N,\N,0,,1281,sin_informacion,No_digital
26,"BOGOTA, D.C.",0,0,0,0,1149212,EMPLEADO,150,\N,\N,\N,0,,1853,sin_informacion,No_digital
26,ANTIOQUIA,0,0,0,0,2059317,INDEPENDIENTE,500,Bajo,Sin Ahorro,Pago normal,1,,2244,sin_informacion,Digital
24,QUINDIO,0,0,0,0,1035012,EMPLEADO,648,\N,\N,\N,1,0.0,1508,sin_informacion,No_digital
25,CUNDINAMARCA,0,0,0,0,\N,,816,\N,\N,\N,1,0.0,1390,sin_informacion,No_digital
24,CASANARE,0,0,0,0,\N,,717,\N,\N,\N,0,0.0,1299,sin_informacion,No_digital
26,ATLANTICO,0,0,0,0,\N,,1,\N,\N,\N,0,,1426,sin_informacion,No_digital
22,ATLANTICO,0,0,0,0,1948834,EMPLEADO,1,\N,\N,\N,1,0.04,1562,sin_informacion,Digital
30,"BOGOTA, D.C.",0,0,0,0,1393012,EMPLEADO,755,Bajo,,Pago normal,0,,4288,,No_digital
28,SANTANDER,0,0,0,0,\N,,383,\N,\N,\N,0,,1671,sin_informacion,No_digital
25,SANTANDER,0,0,0,0,2148012,EMPLEADO,411,Aumento,Minimo Ahorro,,0,,2425,sin_informacion,No_digital
30,CAUCA,0,0,0,0,1161212,EMPLEADO,1,\N,\N,\N,0,,1526,sin_informacion,No_digital
22,,0,0,0,0,\N,,587,\N,\N,\N,0,,1390,sin_informacion,No_digital
24,ATLANTICO,0,0,0,0,1489179,EMPLEADO,696,\N,\N,\N,1,,2198,sin_informacion,Digital
21,,0,0,0,0,\N,,589,\N,\N,\N,0,,1408,sin_informacion,No_digital
27,ANTIOQUIA,0,0,0,0,1841012,EMPLEADO,397,\N,\N,\N,0,0.0,2144,sin_informacion,Digital
22,,0,0,0,0,\N,,340,\N,\N,\N,0,,1244,sin_informacion,No_digital
20,,0,0,0,0,\N,,0,\N,\N,\N,0,,1753,sin_informacion,No_digital
26,,0,0,0,0,\N,,1,\N,\N,\N,0,,1281,sin_informacion,No_digital
24,QUINDIO,0,0,0,0,\N,,728,\N,\N,\N,0,,1299,sin_informacion,No_digital
27,ATLANTICO,0,0,0,0,\N,,414,\N,\N,\N,0,,2125,sin_informacion,No_digital
27,META,0,0,0,0,1095033,INDEPENDIENTE,1,\N,\N,\N,0,0.0,1317,sin_informacion,No_digital
22,,0,0,0,0,\N,,1,\N,\N,\N,0,,1499,sin_informacion,No_digital
26,,0,0,0,0,\N,,686,\N,\N,\N,0,,1353,sin_informacion,No_digital
27,TOLIMA,0,0,0,0,\N,,756,\N,\N,\N,0,0.21,1626,sin_informacion,No_digital
18,,0,0,0,0,\N,,\N,\N,\N,\N,0,,\N,sin_informacion,No_digital
25,SANTANDER,0,0,0,0,\N,,792,\N,\N,\N,0,0.0,1680,sin_informacion,No_digital
22,,0,0,0,0,\N,,635,\N,\N,\N,0,,0,sin_informacion,No_digital
18,,0,0,0,0,\N,,726,\N,\N,\N,0,,1299,sin_informacion,No_digital
23,,0,0,0,0,\N,,7,\N,\N,\N,0,,1181,sin_informacion,No_digital
24,,0,0,0,0,\N,,1,\N,\N,\N,0,,1153,sin_informacion,No_digital
24,"BOGOTA, D.C.",0,0,0,0,\N,,521,\N,\N,\N,0,0.0,1353,sin_informacion,No_digital
24,,0,0,0,0,\N,,0,\N,\N,\N,0,,0,sin_informacion,No_digital
